"id_op_ob","data_emissao_op","numero_ordem_pagamento","vinculacao_op","situacao_op","descricao_situacao_op","data_situacao_op","data_emissao_ob","numero_ordem_bancaria","numero_ordem_lancamento","data_assinatura_ordenador_despesa_ob","data_assinatura_gestor_financeiro_ob","id_dh"
38779,"2024-12-12","2024OP012250",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB011291","2024NS037844","2024-12-12","2024-12-12",54094
38792,"2024-12-12","2024OP012263",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB011328","2024NS037857","2024-12-12","2024-12-12",54096
31605,"2024-07-02","2024OP004327",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB004335","2024NS016986","2024-07-03","2024-07-03",53802
37465,"2024-12-12","2024OP010936",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB010938","2024NS036530","2024-12-12","2024-12-12",53803
38791,"2024-12-12","2024OP012262",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB011309","2024NS037856","2024-12-12","2024-12-12",54098
38796,"2024-12-12","2024OP012267",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB011332","2024NS037861","2024-12-12","2024-12-12",53974
38781,"2024-12-12","2024OP012252",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB011300","2024NS037846","2024-12-12","2024-12-12",54090
38776,"2024-12-12","2024OP012247",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB011289","2024NS037841","2024-12-12","2024-12-12",60542
32586,"2024-07-02","2024OP005308",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB005307","2024NS017967","2024-07-03","2024-07-03",57124
27933,"2024-07-02","2024OP005782",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB005781","2024NS018441","2024-07-03","2024-07-03",57696
32580,"2024-07-02","2024OP005302",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB005301","2024NS017961","2024-07-03","2024-07-03",59750
