id_executor,id_meta,sequencial_meta,desc_meta,un_medida_meta,qt_uniade_meta,vl_custeio_emenda_especial_meta,vl_investimento_emenda_especial_meta,vl_custeio_recursos_proprios_meta,vl_investimento_recursos_proprios_meta,vl_custeio_rendimento_meta,vl_investimento_rendimento_meta,vl_custeio_doacao_meta,vl_investimento_doacao_meta,qt_meses_meta
44569,108378,10,"Aquisição de Leite em Pó Integral para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS.",UN,1976,14523.6,0,0,0,0,0,0,0,4
44569,108379,10,"Aquisição de Folha de Louro para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS.",UN,14,26.6,0,0,0,0,0,0,0,4
44150,93318,1,"AQUISIÇÃO DE 1 VEICULO DE PASSEIO CAPACIDADE MINIMA DE 5 LUGARES CADA, PARA TRANSPORTE DE SERVIDORES E PACIENTES, VISANDO APOIAR AS ATIVIDADES DA ATENÇÃO BASICA NA AREA DA SAUDE DO MUNICIPIO DE BRAS PIRES. UBS  2149281 - UBS Ribeirão",UN,1,0,74250,0,0,0,0,0,0,36
44150,103582,4,"AQUISIÇÃO DE 1 VEICULO DE PASSEIO CAPACIDADE MINIMA DE 5 LUGARES CADA, PARA TRANSPORTE DE SERVIDORES E PACIENTES, VISANDO APOIAR AS ATIVIDADES DA ATENÇÃO BASICA NA AREA DA SAUDE DO MUNICIPIO DE BRAS PIRES. UBS  6724213 - UBS BRÁS PIRES.",UN,1,0,74250,0,0,0,0,0,0,36
44150,103581,3,"AQUISIÇÃO DE 1 VEICULO DE PASSEIO CAPACIDADE MINIMA DE 5 LUGARES CADA, PARA TRANSPORTE DE SERVIDORES E PACIENTES, VISANDO APOIAR AS ATIVIDADES DA ATENÇÃO BASICA NA AREA DA SAUDE DO MUNICIPIO DE BRAS PIRES. UBS  6724213 - UBS BRÁS PIRES.",UN,1,0,74250,0,0,0,0,0,0,36
44150,103580,2,"AQUISIÇÃO DE 1 VEICULO DE PASSEIO CAPACIDADE MINIMA DE 5 LUGARES CADA, PARA TRANSPORTE DE SERVIDORES E PACIENTES, VISANDO APOIAR AS ATIVIDADES DA ATENÇÃO BASICA NA AREA DA SAUDE DO MUNICIPIO DE BRAS PIRES. UBS  2149281 - UBS Ribeirão",UN,1,0,74250,0,0,0,0,0,0,36
45815,96677,1,AQUISIÇÃO DE VEÍCULO AUTOMOTOR TIPO MINIVAN,UN,2,0,396000,0,0,0,0,0,0,12
46257,97628,1,Pavimentação em Comunidade Rurais de Aratiba/RS.,M2,578584,0,396000,0,0,0,0,0,0,36
40759,87545,1,Aquisição Ambulância,UN,1,0,346500,0,0,0,0,0,0,36
44239,93531,1,"Distribuir 1.100 (mil e cem) cestas básicas executada de forma direta pela Pasta, a famílias em situação de vulnerabilidade social, cadastrada no Cadunico e serviço socioassistenciais SUAS, garantindo a entrega conforme critérios da Secretaria Executora",UN,1100,198000,0,0,0,0,0,0,0,36
42741,90987,1,Aquisição de 01 caminhão frigorífico 3/4 para transporte da merenda escolar.,UN,1,0,396000,0,38000,0,0,0,0,12
40810,100622,13,LOCAÇÃO DE  04 CAMARINS MEDINDO 5 X 5 PARA 04 FESTAS DA AGRICULTURA FAMILIAR,UN,4,14000,0,0,0,0,0,0,0,36
40810,90662,2,"LOCAÇÃO DE  PALCO PROFISSIONAL  MEDINDO 12X10, 12 METROS DE FRENTE, 10 METROS DE FUNDO PARA 04  FESTAS DAS FEIRAS DA AGRICULTURA FAMILIAR NO MUNICÍPIO",UN,4,37600,0,0,0,0,0,0,0,36
40810,100621,12,LOCAÇÃO DE 04 PORTAIS DE ENTRADA PARA 04 FESTAS DA FEIRA DA AGRICULTURA FAMILIAR,UN,4,10800,0,0,0,0,0,0,0,36
40810,100613,4,LOCAÇÃO DE SONORIZAÇÃO PROFISSIONAL DE GRANDE PORTE PARA 04 FESTAS DA FEIRA DA AGRICULTURA FAMILIAR,UN,4,31600,0,0,0,0,0,0,0,36
40810,100614,5,LOCAÇÃO DE ILUMINAÇÃO GRANDE PORTE PARA 04 FESTAS DA FEIRA DA AGRICULTURA FAMILIAR,UN,4,23200,0,0,0,0,0,0,0,36
40810,100615,6,LOCAÇÃO DE 20  TENDAS NAS DIMENSOES DE 6 X 6 PARA 04 FESTAS DA AGRICULTURA FAMILIAR,UN,20,7600,0,0,0,0,0,0,0,36
40810,100616,7,LOCAÇÃO DE 20 BARRACAS MODELO OCTANORM TAMANHO MINIMO DE 3X3,UN,20,7000,0,0,0,0,0,0,0,36
40810,100617,8,LOCAÇÃO DE 04 GRID  TAMANHO 10X10 PARA 04 FESTAS DA AGRICULTURA FAMILIAR,UN,4,8400,0,0,0,0,0,0,0,36
40810,100618,9,LOCAÇÃO DE 04 GERADORE DE ENERGIA PARA 4 FESTAS DA FEIRA DA AGRICULTURA FAMILIAR,UN,4,18000,0,0,0,0,0,0,0,36
