id_plano_acao,id_executor,cnpj_executor,nome_executor,objeto_executor
82550,43391,87612982000150,MUNICIPIO DE ROQUE GONZALES,"Construção, Revitalização E Reforma De Infraestrutura Urbana Para Adequação De Espaços De Interesse Turístico :  
Revitalização e requalificação da Praça Adair Vicente de Brum (antiga Praça Tiradentes), com a construção de espaço coberto multiuso destinado à realização de eventos culturais, turísticos, sociais e comunitários. 
Receberá cobertura para espaço multiuso, melhoria da pavimentação, paisagismo, iluminação, acessibilidade e mobiliário urbano.
Esse equipamento público proporcionará melhor estrutura para recepção de visitantes e realização de eventos turísticos e culturais. Atualmente recebe 15.000 visitantes/ano em eventos diversos promovidos pelo Município e demais entidades que utilizam o local como ponto de encontro e visitação; faz parte de diversos roteiros turísticos, tais como Trilha dos Santos Mártires, Caminho das Missões, Trilha da Integração Jesuítica-Guarani; recebe ainda  festividades do Aniversário do Município, nessa última edição recebeu 8.000 pessoas;  Feiras de produtos da agricultura familiar, Semana Farroupilha, Festividades alusivas ao dia da Criança e Natal Luz dos Anjos, contribuindo para a dinamização da economia local, a valorização da identidade cultural e a ocupação qualificada do espaço urbano. A iniciativa visa ampliar a infraestrutura urbana de apoio ao turismo e aumentar a capacidade de visitação, oferecendo um ambiente adequado, funcional e seguro."
76343,42792,07977044000115,MUNICIPIO DE MISSAO VELHA,CONSTRUÇÃO DE DUAS PRAÇAS NA ZONA URBANA DO MUNICÍPIO DE MISSÃO VELHA-CE
76345,40119,23444672000191,MUNICIPIO DE BANABUIU,CONSTRUÇÃO PRAÇA DA ARENINHA NA RUA DR. CELESTINO DE SOUSA NA ZONA URBANA
76347,40627,07539273000158,MUNICIPIO DE VARZEA ALEGRE,"Pavimentação
"
75896,43525,00766733000131,MUNICIPIO DE SAO SEBASTIAO DO TOCANTINS,RECUPERAÇÃO DE ESTRADAS VICINAIS NO MUNICIPIO DE SÃO SEBASTIÃO DO TOCANTINS
83386,41806,01067842000123,MUNICIPIO DE MAIRIPOTABA,"Aquisição De Unidade Móvel De Saúde, para o município de Mairipotaba/GO. 


A Unidade Móvel de Saúde é essencial para atender a população do município e de difícil acesso, garantindo serviços de saúde próximos à comunidade, ampliando a atenção básica e promovendo o acesso eficiente a consultas e exames.


OBS.: Informamos ainda que, este município irá adquirir o objeto e irá adequar o veículo de acordo com o Sistema de Informação e Gerenciamento de Equipamentos e Materiais Permanentes Financiáveis para o SUS (SIGEM)."
81427,41019,01612577000117,MUNICIPIO DE FRANCISCO MACEDO,"Revitalização, Construção De Calçadas E Passeios Públicos: Calçadões"
77299,41044,14196042000154,MUNICIPIO DE TEOLANDIA,"EXECUÇÃO DE OBRAS DE PAVIMENTAÇÃO EM ESTRADAS VICINAIS, NA ZONA RURAL DO MUNICÍPIO DE TEOLÂNDIA, LIGANDO A BR 101 AO POVOADO DE ALTO ALEGRE E DO POVOADO DO ALTO ALEGRE A REGIÃO DO BOQUEIRÃO, COMPREENDENDO OS SEGUINTES SERVIÇOS: SERVIÇOS  PRELIMINARES; ADMINISTRAÇÃO LOCAL; DRENAGEM E PAVIMENTAÇÃO DE ESTRADAS VICINAIS, NA ZONA RURAL DO MUNICÍPIO DE TEOLÂNDIA."
76355,43604,18281870000141,FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL - FMAS DE MANACAPURU/AM,"Aquisição de equipamentos e materiais permanentes para fortalecimento da rede socioassistencial do município de Manacapuru - AM, com a finalidade de estruturar e modernizar os serviços socioassistenciais dos equipamentos públicos da Secretaria Municipal de Assistência Social – SEMAS como: CRAS, CREAS CENTRO POP, CENTRO DE CONVIVENCIA PARA FAMILIA-CCF, CENTRO DE CONVIVENCIA DO IDOSO - CCI, SERVIÇO DE ACOLHIMENTO INSTITUCIONAL PARA CRIANÇAS E ADOLESCENTES - SAICA. SERVIÇO DE ACOLHIMENTO INSTITUICIONAL DE ADULTOS E FAMILIAS - SAIAF."
76362,46855,04283578000153,MUNICIPIO DE NHAMUNDA,44..90.52.00.00.00
84440,41042,08087561000181,MUNICIPIO DE PARELHAS,Conclusão da Construção de Galpão Industrial Têxtil (Instrumento 896965/2019 - MIDR)
76367,45458,04465209000181,MUNICIPIO DE HUMAITA,"IMPLANTAÇÃO DE POÇOS ARTESIANO, INCLUINDO BOMBA SUBMERSA E ESTRUTURA EM CONCRETO ARMADO PARA RESERVATÓRIO EM POLIETILENO EM COMUNIDADES RURAIS DO MUNICÍPIO DE HUMAITÁ - AM."
79796,41052,76950039000131,MUNICIPIO DE ENGENHEIRO BELTRAO,AQUISIÇÃO DE NO MÍNIMO 20 CÂMERAS DE VIDEOMONITORAMENTO (ACESSÓRIOS E INSTALAÇÃ0) E SISTEMA DE SEGURANÇA DE MONITORAMENTO
