"id_op_ob","data_emissao_op","numero_ordem_pagamento","vinculacao_op","situacao_op","descricao_situacao_op","data_situacao_op","data_emissao_ob","numero_ordem_bancaria","numero_ordem_lancamento","data_assinatura_ordenador_despesa_ob","data_assinatura_gestor_financeiro_ob","id_dh"
46813,"2025-12-03","2025OP008080",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB008079","2025NS030133","2025-12-04","2025-12-04",68768
47667,"2025-12-03","2025OP008934",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB008933","2025NS030987","2025-12-04","2025-12-04",68580
46759,"2025-12-03","2025OP008026",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB008025","2025NS030079","2025-12-04","2025-12-04",68581
47754,"2025-12-03","2025OP009021",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB009020","2025NS031074","2025-12-04","2025-12-04",68583
47085,"2025-12-03","2025OP008352",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB008351","2025NS030405","2025-12-04","2025-12-04",68596
46305,"2025-12-03","2025OP007572",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB007571","2025NS029625","2025-12-04","2025-12-04",68313
47014,"2025-12-03","2025OP008281",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB008280","2025NS030334","2025-12-04","2025-12-04",68845
47920,"2025-12-03","2025OP009187",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB009186","2025NS031240","2025-12-04","2025-12-04",67967
47138,"2025-12-03","2025OP008405",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB008397","2025NS030458","2025-12-04","2025-12-04",67988
46943,"2025-12-03","2025OP008210",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB008202","2025NS030263","2025-12-04","2025-12-04",68022
46662,"2025-12-03","2025OP007929",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB007928","2025NS029982","2025-12-04","2025-12-04",68563
46242,"2025-12-03","2025OP007509",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB007508","2025NS029562","2025-12-04","2025-12-04",68921
48401,"2025-12-04","2025OP009667",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-05","2025-12-05","2025OB009666","2025NS032211","2025-12-05","2025-12-04",69557
46860,"2025-12-03","2025OP008127",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB008126","2025NS030180","2025-12-04","2025-12-04",69080
46704,"2025-12-03","2025OP007971",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB007970","2025NS030024","2025-12-04","2025-12-04",69140
48356,"2025-12-04","2025OP009622",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-05","2025-12-05","2025OB009612","2025NS032166","2025-12-05","2025-12-04",69533
47055,"2025-12-03","2025OP008322",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB008321","2025NS030375","2025-12-04","2025-12-04",69653
47921,"2025-12-03","2025OP009188",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB009187","2025NS031241","2025-12-04","2025-12-04",69872
46174,"2025-12-03","2025OP007441",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB007440","2025NS029494","2025-12-04","2025-12-04",69941
47730,"2025-12-03","2025OP008997",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB008996","2025NS031050","2025-12-04","2025-12-04",70098
47320,"2025-12-03","2025OP008587",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB008586","2025NS030640","2025-12-04","2025-12-04",70099
47844,"2025-12-03","2025OP009111",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB009110","2025NS031164","2025-12-04","2025-12-04",68750
46494,"2025-12-03","2025OP007761",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB007760","2025NS029814","2025-12-04","2025-12-04",68522
47894,"2025-12-03","2025OP009161",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB009160","2025NS031214","2025-12-04","2025-12-04",68526
47297,"2025-12-03","2025OP008564",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB008563","2025NS030617","2025-12-04","2025-12-04",68839
47037,"2025-12-03","2025OP008304",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB008295","2025NS030357","2025-12-04","2025-12-04",68854
46259,"2025-12-03","2025OP007526",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB007525","2025NS029579","2025-12-04","2025-12-04",67933
46371,"2025-12-03","2025OP007638",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB007637","2025NS029691","2025-12-04","2025-12-04",67992
47831,"2025-12-03","2025OP009098",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB009097","2025NS031151","2025-12-04","2025-12-04",68004
46419,"2025-12-03","2025OP007686",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB007685","2025NS029739","2025-12-04","2025-12-04",68565
47347,"2025-12-03","2025OP008614",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB008613","2025NS030667","2025-12-04","2025-12-04",68568
48292,"2025-12-04","2025OP009558",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-05","2025-12-05","2025OB009557","2025NS032102","2025-12-05","2025-12-04",69426
48006,"2025-12-04","2025OP009273",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-05","2025-12-05","2025OB009272","2025NS031817","2025-12-05","2025-12-04",69478
47934,"2025-12-04","2025OP009201",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-05","2025-12-05","2025OB009200","2025NS031745","2025-12-05","2025-12-04",68363
47628,"2025-12-03","2025OP008895",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB008894","2025NS030948","2025-12-04","2025-12-04",69628
48578,"2025-12-18","2025OP009855",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-18","2025-12-18","2025OB009861","2025NS033162","2025-12-18","2025-12-18",70176
48526,"2025-12-18","2025OP009803",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-18","2025-12-18","2025OB009816","2025NS033110","2025-12-18","2025-12-18",70129
48843,"2025-12-29","2025OP010120",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-29","2025-12-29","2025OB010126","2025NS033856","2025-12-29","2025-12-29",70490
47784,"2025-12-03","2025OP009051",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB009050","2025NS031104","2025-12-04","2025-12-04",68616
46948,"2025-12-03","2025OP008215",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB008212","2025NS030268","2025-12-04","2025-12-04",68167
47769,"2025-12-03","2025OP009036",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB009035","2025NS031089","2025-12-04","2025-12-04",68172
46322,"2025-12-03","2025OP007589",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB007588","2025NS029642","2025-12-04","2025-12-04",67916
46210,"2025-12-03","2025OP007477",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB007476","2025NS029530","2025-12-04","2025-12-04",67929
48007,"2025-12-04","2025OP009274",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-05","2025-12-05","2025OB009273","2025NS031818","2025-12-05","2025-12-04",69373
48296,"2025-12-04","2025OP009562",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-05","2025-12-05","2025OB009561","2025NS032106","2025-12-05","2025-12-04",69466
46481,"2025-12-03","2025OP007748",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB007747","2025NS029801","2025-12-04","2025-12-04",69944
48696,"2025-12-18","2025OP009973",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-18","2025-12-18","2025OB009988","2025NS033280","2025-12-18","2025-12-18",70171
48432,"2025-12-18","2025OP009709",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-18","2025-12-18","2025OB009715","2025NS033016","2025-12-18","2025-12-18",70123
48491,"2025-12-18","2025OP009768",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-18","2025-12-18","2025OB009774","2025NS033075","2025-12-18","2025-12-18",70182
48672,"2025-12-18","2025OP009949",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-18","2025-12-18","2025OB009955","2025NS033256","2025-12-18","2025-12-18",70194
48495,"2025-12-18","2025OP009772",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-18","2025-12-18","2025OB009778","2025NS033079","2025-12-18","2025-12-18",70286
47731,"2025-12-03","2025OP008998",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB008997","2025NS031051","2025-12-04","2025-12-04",68487
46774,"2025-12-03","2025OP008041",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB008040","2025NS030094","2025-12-04","2025-12-04",68505
47537,"2025-12-03","2025OP008804",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB008803","2025NS030857","2025-12-04","2025-12-04",68514
47190,"2025-12-03","2025OP008457",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB008456","2025NS030510","2025-12-04","2025-12-04",68388
47868,"2025-12-03","2025OP009135",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB009134","2025NS031188","2025-12-04","2025-12-04",68169
46981,"2025-12-03","2025OP008248",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB008247","2025NS030301","2025-12-04","2025-12-04",68170
46960,"2025-12-03","2025OP008227",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB008226","2025NS030280","2025-12-04","2025-12-04",68074
47357,"2025-12-03","2025OP008624",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB008623","2025NS030677","2025-12-04","2025-12-04",68173
