"id_historico_op_ob","data_hora_historico_op","historico_situacao_op","descricao_historico_situacao_op","id_op_ob"
157482,"2025-09-11T19:00:00.746328",4,"OP Assinada mas sem OB gerada",41642
160465,"2025-09-12T08:29:59.802645",5,"OB Enviada à instituição bancária para pagamento",41642
148542,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",41495
151242,"2025-09-09T12:00:14.909899",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",41495
151930,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",41495
147936,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",40889
150636,"2025-09-09T11:27:03.730628",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",40889
152094,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",40889
148629,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",41582
151329,"2025-09-09T12:04:52.220509",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",41582
152198,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",41582
148630,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",41583
151330,"2025-09-09T12:04:55.664851",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",41583
152200,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",41583
148624,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",41577
151324,"2025-09-09T12:04:37.122377",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",41577
152196,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",41577
148626,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",41579
151326,"2025-09-09T12:04:43.075382",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",41579
152202,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",41579
148622,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",41575
151322,"2025-09-09T12:04:30.86774",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",41575
152191,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",41575
146153,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",39106
148853,"2025-09-09T09:47:47.972786",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",39106
