"id_analise_pendente","id_orgao_analise_pendente_pt","nome_orgao_analise_pendente_pt","id_plano_trabalho"
"42072-308793",308793,"Ministério da Agricultura e Pecuária",42072
"43257-2207",2207,"Fundação Nacional de Saúde",43257
"39388-308798",308798,"Ministério das Cidades",39388
"41652-308796",308796,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",41652
"40357-72084",72084,"Ministério do Turismo",40357
"40855-308796",308796,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",40855
"39509-308797",308797,"Ministério do Esporte",39509
"42042-253",253,"Fundo Nacional de Desenvolvimento da Educação",42042
"38506-304",304,"Ministério da Saúde",38506
"39848-304",304,"Ministério da Saúde",39848
"42633-304",304,"Ministério da Saúde",42633
"42633-308798",308798,"Ministério das Cidades",42633
"42633-2207",2207,"Fundação Nacional de Saúde",42633
"42648-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",42648
"42614-1927",1927,"Ministério do Meio Ambiente",42614
"43158-1927",1927,"Ministério do Meio Ambiente",43158
"40560-304",304,"Ministério da Saúde",40560
"41372-304",304,"Ministério da Saúde",41372
"43191-304",304,"Ministério da Saúde",43191
"39794-308798",308798,"Ministério das Cidades",39794
"38166-72084",72084,"Ministério do Turismo",38166
"38129-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",38129
